target,n_authors,threshold,balanced_accuracy,f1,minority_precision,minority_recall,roc_auc,average_precision,raw_accuracy,positive_rate_pred,positive_rate_true,model_id,split,model_name
target_E,1562,0.055,0.6153505010299152,0.3978349120433017,0.3620689655172414,0.4414414414414414,0.6771490774745452,0.3793916644306163,0.7151088348271447,0.2599231754161332,0.2131882202304737,mean_pool_mlp_text,val,Mean Pool MLP
target_S,1562,0.09,0.519817616791482,0.1025641025641025,0.1149425287356321,0.0925925925925925,0.6520645473534057,0.1104463315030833,0.8879641485275288,0.0556978233034571,0.0691421254801536,mean_pool_mlp_text,val,Mean Pool MLP
target_T,1562,0.065,0.7061931312854894,0.6613603473227206,0.6013157894736842,0.7347266881028939,0.7682809400013683,0.6724157289687939,0.7003841229193342,0.4865556978233034,0.3982074263764404,mean_pool_mlp_text,val,Mean Pool MLP
target_J,1562,0.1149999999999999,0.5920141830135823,0.5208012326656395,0.4992614475627769,0.5442834138486312,0.6316549187916374,0.5251188112860776,0.6017925736235595,0.4334186939820743,0.3975672215108835,mean_pool_mlp_text,val,Mean Pool MLP
target_E,1563,0.055,0.6152584984627978,0.3989501312335958,0.3551401869158878,0.4550898203592814,0.677170475972384,0.3763081506301486,0.7069737683941139,0.273832373640435,0.2136916186820217,mean_pool_mlp_text,test,Mean Pool MLP
target_S,1563,0.09,0.5409465020576132,0.1443298969072164,0.1573033707865168,0.1333333333333333,0.648193872885231,0.1333485678946948,0.8937939859245042,0.0569417786308381,0.0671785028790787,mean_pool_mlp_text,test,Mean Pool MLP
target_T,1563,0.065,0.6674128434721068,0.6221590909090909,0.5565438373570522,0.7053140096618358,0.7396894263413233,0.6498341806462056,0.6596289187460013,0.5035188739603327,0.3973128598848368,mean_pool_mlp_text,test,Mean Pool MLP
target_J,1563,0.1149999999999999,0.5919848815861001,0.5232646834477498,0.4971014492753623,0.5523349436392915,0.6243739123596965,0.5151235295846133,0.600127959053103,0.4414587332053742,0.3973128598848368,mean_pool_mlp_text,test,Mean Pool MLP
target_E,1562,0.06,0.6233320383035599,0.4084507042253521,0.3846153846153846,0.4354354354354354,0.6809193245320178,0.4023994178062471,0.7311139564660691,0.2413572343149808,0.2131882202304737,mean_std_pool_mlp_text,val,Mean+Std Pool MLP
target_S,1562,0.055,0.5469076366600438,0.1576354679802955,0.1684210526315789,0.1481481481481481,0.6233888634163738,0.120138436274462,0.8905249679897568,0.0608194622279129,0.0691421254801536,mean_std_pool_mlp_text,val,Mean+Std Pool MLP
target_T,1562,0.1149999999999999,0.7122083874940138,0.6626506024096386,0.623229461756374,0.707395498392283,0.7732622973250325,0.6882422422583616,0.7131882202304738,0.4519846350832266,0.3982074263764404,mean_std_pool_mlp_text,val,Mean+Std Pool MLP
target_J,1562,0.4749999999999999,0.5966799632419001,0.4970111016225448,0.5290909090909091,0.4685990338164251,0.6260248373864785,0.5165942432028594,0.6229193341869398,0.352112676056338,0.3975672215108835,mean_std_pool_mlp_text,val,Mean+Std Pool MLP
target_E,1563,0.06,0.6310105582163581,0.4204851752021563,0.3823529411764705,0.467065868263473,0.6868151410766751,0.3883760138583325,0.7248880358285349,0.2610364683301343,0.2136916186820217,mean_std_pool_mlp_text,test,Mean+Std Pool MLP
target_S,1563,0.055,0.5392318244170096,0.1407035175879397,0.1489361702127659,0.1333333333333333,0.6439088118100464,0.105730499483389,0.8905950095969289,0.0601407549584133,0.0671785028790787,mean_std_pool_mlp_text,test,Mean+Std Pool MLP
target_T,1563,0.1149999999999999,0.6607741776670051,0.6066914498141264,0.56353591160221,0.6570048309178744,0.7399424255789067,0.6441182102379464,0.6615483045425464,0.4632117722328854,0.3973128598848368,mean_std_pool_mlp_text,test,Mean+Std Pool MLP
target_J,1563,0.4749999999999999,0.574497164015303,0.4771404821280133,0.493127147766323,0.4621578099838969,0.6077315199442034,0.5062882367588133,0.5975687779910429,0.3723608445297505,0.3973128598848368,mean_std_pool_mlp_text,test,Mean+Std Pool MLP
target_E,1562,0.3699999999999999,0.651662647187464,0.4429268292682927,0.3280346820809248,0.6816816816816816,0.6850145507590586,0.3606611032895192,0.6344430217669654,0.4430217669654289,0.2131882202304737,set_attention_text_controls_p200,val,Set Attention Text + Controls p=200
target_S,1562,0.2599999999999999,0.6292220693871313,0.2,0.1219512195121951,0.5555555555555556,0.6691884456671251,0.1534821789003345,0.6927016645326505,0.3149807938540332,0.0691421254801536,set_attention_text_controls_p200,val,Set Attention Text + Controls p=200
target_T,1562,0.6,0.7148405965656428,0.6516666666666666,0.6764705882352942,0.6286173633440515,0.7814445508654306,0.6866287014870616,0.7323943661971831,0.3700384122919334,0.3982074263764404,set_attention_text_controls_p200,val,Set Attention Text + Controls p=200
target_J,1562,0.4499999999999999,0.6072308042460055,0.5371517027863777,0.5171385991058122,0.5587761674718197,0.63352105975587,0.5026182712290097,0.617157490396927,0.4295774647887324,0.3975672215108835,set_attention_text_controls_p200,val,Set Attention Text + Controls p=200
target_E,1563,0.3699999999999999,0.6648972193935969,0.4577114427860697,0.3427719821162444,0.688622754491018,0.7074894149861384,0.3750212877652417,0.6513115802943058,0.4293026231605886,0.2136916186820217,set_attention_text_controls_p200,test,Set Attention Text + Controls p=200
